TransactionID,id_30,id_31,id_33,DeviceType,DeviceInfo
2987004,Android 7.0,samsung browser 6.2,2220x1080,mobile,SAMSUNG SM-G892A Build/NRD90M
2987008,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987010,,chrome 62.0,,desktop,Windows
2987011,,chrome 62.0,,desktop,
2987016,Mac OS X 10_11_6,chrome 62.0,1280x800,desktop,MacOS
2987017,Windows 10,chrome 62.0,1366x768,desktop,Windows
2987022,,,,,
2987038,Android,chrome 62.0,1920x1080,mobile,
2987040,,chrome 62.0,,desktop,Windows
2987048,,chrome 62.0,,desktop,Windows
2987049,,chrome 62.0,,desktop,Windows
2987057,Android 7.0,chrome 62.0 for android,1920x1080,mobile,SM-G930V Build/NRD90M
2987066,Windows 10,chrome 62.0,1680x1050,desktop,Windows
2987069,Linux,chrome 62.0,1920x1080,desktop,
2987070,iOS 11.1.2,mobile safari 11.0,1136x640,mobile,iOS Device
2987072,,chrome 62.0 for android,,mobile,BLADE A602 Build/MRA58K
2987074,,chrome 62.0,,desktop,Windows
2987084,,chrome 62.0,,desktop,Windows
2987093,Windows 10,edge 15.0,,desktop,Windows
2987099,iOS 11.0.3,mobile safari generic,1334x750,mobile,iOS Device
2987100,Android 7.0,chrome 62.0 for android,1920x1080,mobile,SM-G930V Build/NRD90M
2987101,Mac OS X 10_7_5,chrome 49.0,1280x800,desktop,MacOS
2987104,Android 7.0,chrome 62.0 for android,1920x1080,mobile,SM-G930V Build/NRD90M
2987105,,chrome 62.0 for android,,mobile,XT1635-02 Build/NPN26.118-22-2
2987108,,,,,
2987111,,chrome 62.0,,desktop,Windows
2987114,,chrome 62.0,,desktop,Windows
2987119,Mac OS X 10_12_6,chrome 61.0,5120x2880,desktop,MacOS
2987121,Mac OS X 10_12_6,chrome 62.0,2880x1800,desktop,MacOS
2987125,Mac OS X 10_12_6,chrome 62.0,2880x1800,desktop,MacOS
2987130,,chrome 62.0,,desktop,Windows
2987138,Windows 10,edge 16.0,1920x1200,desktop,Windows
2987141,Mac OS X 10_13_1,safari generic,2560x1600,desktop,MacOS
2987144,Mac OS X 10_13_1,safari generic,2560x1600,desktop,MacOS
2987145,iOS 11.1.0,mobile safari 11.0,2048x1536,mobile,iOS Device
2987148,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
2987156,Windows 10,chrome 62.0,1024x768,desktop,Windows
2987167,Windows 10,edge 14.0,1366x768,desktop,Windows
2987173,iOS 11.1.2,mobile safari 11.0,1136x640,mobile,iOS Device
2987183,Android,chrome 56.0 for android,1280x720,mobile,Z970
2987188,Android,chrome 62.0,2560x1440,mobile,
2987189,,firefox 57.0,,desktop,Windows
2987190,,mobile safari 11.0,,mobile,
2987192,,firefox 57.0,,desktop,Windows
2987196,,chrome 62.0,,desktop,Windows
2987197,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2987198,iOS 11.0.3,mobile safari 11.0,2048x1536,mobile,iOS Device
2987199,,mobile safari 11.0,,mobile,
2987207,iOS 11.1.2,mobile safari 11.0,2001x1125,mobile,iOS Device
2987209,,chrome 62.0,,desktop,Windows
2987211,Android 7.0,chrome 62.0 for android,,mobile,SM-N920V Build/NRD90M
2987236,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2987240,,chrome 54.0 for android,,mobile,Redmi Note 4 Build/MMB29M
2987243,,chrome 54.0 for android,,mobile,Redmi Note 4 Build/MMB29M
2987245,,chrome 54.0 for android,,mobile,Redmi Note 4 Build/MMB29M
2987248,iOS 11.1.2,mobile safari uiwebview,2048x1536,mobile,iOS Device
2987252,,chrome 62.0,,desktop,Windows
2987258,,chrome 62.0,,desktop,Windows
2987259,,mobile safari 11.0,,mobile,
2987262,,chrome 62.0,,desktop,Windows
2987265,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile,iOS Device
2987266,,chrome 62.0,,desktop,Windows
2987270,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile,iOS Device
2987271,Windows 10,chrome 62.0,1920x1080,desktop,Windows
2987273,iOS 11.1.0,mobile safari 11.0,2048x1536,mobile,iOS Device
2987275,Mac OS X 10_9_5,chrome,1440x900,desktop,MacOS
2987281,Windows 10,chrome 62.0,1366x768,desktop,Windows
2987284,,chrome 62.0,,desktop,Windows
2987287,,safari generic,,desktop,
2987288,,chrome 62.0 for ios,,mobile,
2987301,,chrome 62.0 for android,,mobile,Lenovo PB1-750M Build/S100
2987311,Mac OS X 10_13_1,safari generic,1600x900,desktop,MacOS
2987316,,firefox 57.0,,desktop,Windows
2987319,,,,,
2987327,Windows 7,chrome 62.0,1366x768,desktop,Windows
2987328,,chrome 62.0,,desktop,Windows
2987332,iOS 11.1.2,mobile safari generic,2208x1242,mobile,iOS Device
2987333,Windows 8.1,chrome 62.0,1366x768,desktop,Windows
2987335,iOS 11.1.2,mobile safari generic,2208x1242,mobile,iOS Device
2987336,iOS 11.1.2,mobile safari generic,2208x1242,mobile,iOS Device
2987337,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
2987338,iOS 11.1.2,mobile safari generic,2208x1242,mobile,iOS Device
2987352,,chrome 62.0 for android,,mobile,LT22i Build/6.2.A.1.100
2987355,Mac OS X 10_11_6,safari generic,1440x900,desktop,MacOS
2987361,Mac OS X 10_11_6,safari generic,1440x900,desktop,MacOS
2987366,iOS 11.0.3,mobile safari 11.0,2048x1536,mobile,iOS Device
2987367,Windows 10,firefox,1440x900,desktop,rv:52.0
2987368,,mobile safari 11.0,,mobile,
2987374,Mac OS X 10_11_6,safari generic,1440x900,desktop,MacOS
2987376,Mac OS X 10_13_1,safari generic,1366x768,desktop,MacOS
2987380,,mobile safari 11.0,,mobile,
2987384,,chrome 62.0,,desktop,
2987386,,chrome 60.0 for android,,mobile,SM-G950U Build/NRD90M
2987387,Android 7.0,chrome 62.0 for android,2672x1440,mobile,LG-H872 Build/NRD90U
2987389,Mac,safari generic,1440x900,desktop,MacOS
2987390,Mac OS X 10_9_5,safari generic,1280x800,desktop,MacOS
2987398,,chrome 62.0 for android,,mobile,LG-K500 Build/MMB29M
2987404,iOS 10.3.3,mobile safari 10.0,2208x1242,mobile,iOS Device
2987405,,mobile safari 11.0,,mobile,
2987406,iOS 10.3.3,mobile safari 10.0,2208x1242,mobile,iOS Device
2987408,iOS 10.3.3,mobile safari 10.0,2208x1242,mobile,iOS Device
2987412,,chrome 62.0,,desktop,Windows
2987416,iOS 10.3.3,mobile safari 10.0,2048x1536,mobile,iOS Device
2987425,iOS 11.0.3,mobile safari 11.0,2048x1536,mobile,iOS Device
2987429,,chrome 62.0,,desktop,Windows
